slug,linkedin_url,raw_file
jdimonte,https://www.linkedin.com/in/jdimonte/,jdimonte.txt
vanelabushi,https://www.linkedin.com/in/vanelabushi/,vanelabushi.txt
danielle-shoots,https://www.linkedin.com/in/danielle-shoots/,danielle-shoots.txt
batchimeg,https://www.linkedin.com/in/batchimeg/,batchimeg.txt
kate-r-09103425,https://www.linkedin.com/in/kate-r-09103425/,kate-r-09103425.txt
yana-abramova,https://www.linkedin.com/in/yana-abramova/,yana-abramova.txt
acwaabqnsr0biuz1izfsr03eswxhdaq0deyfapg,https://www.linkedin.com/in/acwaabqnsr0biuz1izfsr03eswxhdaq0deyfapg/,acwaabqnsr0biuz1izfsr03eswxhdaq0deyfapg.txt
laura-brady-259a434,https://www.linkedin.com/in/laura-brady-259a434/,laura-brady-259a434.txt
elana-berkowitz-64b4bb49,https://www.linkedin.com/in/elana-berkowitz-64b4bb49/,elana-berkowitz-64b4bb49.txt
saratbrand,https://www.linkedin.com/in/saratbrand/,saratbrand.txt
acwaabqga7ubjihpuvgaojevjycde3pkncunuta,https://www.linkedin.com/in/acwaabqga7ubjihpuvgaojevjycde3pkncunuta/,acwaabqga7ubjihpuvgaojevjycde3pkncunuta.txt
catharine-dockery-2881054a,https://www.linkedin.com/in/catharine-dockery-2881054a/,catharine-dockery-2881054a.txt
nicholewischoff,https://www.linkedin.com/in/nicholewischoff/,nicholewischoff.txt
patriciahalfenwexler,https://www.linkedin.com/in/patriciahalfenwexler/,patriciahalfenwexler.txt
betsy-z-cohen,https://www.linkedin.com/in/betsy-z-cohen/,betsy-z-cohen.txt
christina-sass,https://www.linkedin.com/in/christina-sass/,christina-sass.txt
caramorphew,https://www.linkedin.com/in/caramorphew/,caramorphew.txt
jessicallynch,https://www.linkedin.com/in/jessicallynch/,jessicallynch.txt
marenbannon,https://www.linkedin.com/in/marenbannon/,marenbannon.txt
cyanb,https://www.linkedin.com/in/cyanb/,cyanb.txt
pamela-vagata-8396074,https://www.linkedin.com/in/pamela-vagata-8396074/,pamela-vagata-8396074.txt
rehwang,https://www.linkedin.com/in/rehwang/,rehwang.txt
